Company,EPS/FORECAST,REVENUE/FORECAST,MARKET CAP
Xiaomi ADR(XIACY),-1.0 / 0.1453,-1.0 / 12830000000.0,92500000000.0
Symbotic(SYM),-1.0 / 0.0524,-1.0 / 470240000.0,18350000000.0
Aecom Technology(ACM),-1.0 / 1.24,-1.0 / 1860000000.0,15120000000.0
Bellring(BRBR),-1.0 / 0.502,-1.0 / 544470000.0,9320000000.0
Brady(BRC),-1.0 / 1.08,-1.0 / 373580000.0,3630000000.0
Twist Bioscience(TWST),-1.0 / -0.6972,-1.0 / 82740000.0,2500000000.0
FinVolution Group(FINV),-1.0 / -1.0,-1.0 / -1.0,1560000000.0
Ehang(EH),-1.0 / -0.8532,-1.0 / 116320000.0,1100000000.0
PropertyGuru Group(PGRU),-1.0 / -0.0085,-1.0 / 44370000.0,1090000000.0
i3 Verticals(IIIV),-1.0 / 0.18,-1.0 / 61110000.0,867700000.0
Barloworld ADR(BRRAY),-1.0 / -1.0,-1.0 / -1.0,863950000.0
Tuya(TUYA),-1.0 / 0.02,-1.0 / 75490000.0,828590000.0
Annexon(ANNX),-1.0 / -0.2582,-1.0 / 0.0,696790000.0
Bit Digital(BTBT),-1.0 / -0.0233,-1.0 / 24780000.0,679990000.0
Magic(MGIC),-1.0 / 0.245,-1.0 / 137250000.0,553840000.0
Qudian Inc(QD),-1.0 / -1.0,-1.0 / -1.0,450780000.0
Agora(API),-1.0 / -0.04,-1.0 / 41320000.0,384000000.0
China Yuchai(CYD),-1.0 / -1.0,-1.0 / -1.0,342830000.0
Tat Techno(TATT),-1.0 / -1.0,-1.0 / -1.0,226380000.0
Niu Tech(NIU),-1.0 / -1.0,-1.0 / -1.0,158690000.0
Mondee Holdings(MOND),-0.18 / -0.18,54300000.0 / 54500000.0,108870000.0
Cellectar Biosciences(CLRB),-1.0 / -0.33,-1.0 / 0.0,74210000.0
AIX Inc DRC(AIFU),-1.0 / -1.0,-1.0 / -1.0,66629999.99999999
Medley Management Inc(MDLM),-1.0 / -1.0,-1.0 / -1.0,26130000.0
Oncotelic Therapeutics(OTLC),-1.0 / -1.0,-1.0 / 0.0,10680000.0
Key Energy Services(KEGX),-1.0 / -1.0,-1.0 / -1.0,10340000.0
Walmart(WMT),-1.0 / 0.53,-1.0 / 167610000000.0,688240000000.0
Lowe’s(LOW),-1.0 / 2.81,-1.0 / 19910000000.0,154500000000.0
Medtronic(MDT),-1.0 / 1.25,-1.0 / 8279999999.999999,112900000000.0
Tokio Marine Holdings Inc(TKOMY),-1.0 / -1.0,-1.0 / -1.0,73570000000.0
MS&AD Insurance Group Holdings PK(MSADY),-1.0 / -1.0,-1.0 / -1.0,35590000000.0
Keysight Technologies(KEYS),-1.0 / 1.57,-1.0 / 1260000000.0,27290000000.0
Imperial Brands(IMBBY),-1.0 / 2.27,-1.0 / -1.0,24810000000.0
Sonova Holding AG(SONVY),-1.0 / -1.0,-1.0 / -1.0,21340000000.0
Prudential Public ADR(PUK),-1.0 / -1.0,-1.0 / -1.0,20660000000.0
Viking Holdings(VIK),-1.0 / 0.82,-1.0 / -1.0,19790000000.0
Jacobs Engineering(J),-1.0 / 1.82,-1.0 / 4500000000.0,18560000000.0
Burlington Stores(BURL),-1.0 / 1.55,-1.0 / 2550000000.0,16870000000.000002
ZTO Express Cayman(ZTO),-1.0 / 2.84,-1.0 / 10390000000.0,16739999999.999998
Dollar Tree(DLTR),-1.0 / 1.06,-1.0 / 7450000000.0,13930000000.0
Xpeng(XPEV),-1.0 / -2.11,-1.0 / 10030000000.0,12670000000.0
Futu(FUTU),-1.0 / 9.57,-1.0 / 3170000000.0,12510000000.0
Elbit Systems(ESLT),-1.0 / 1.72,-1.0 / 1630000000.0,10580000000.0
Amer Sports(AS),-1.0 / 0.15,-1.0 / -1.0,10090000000.0
Vipshop(VIPS),-1.0 / 2.49,-1.0 / 20650000000.0,7390000000.0
Dolby Labs(DLB),-1.0 / 0.445,-1.0 / 307940000.0,7020000000.0
Azek Company(AZEK),-1.0 / 0.2674,-1.0 / 339060000.0,6840000000.0
Valvoline(VVV),-1.0 / 0.4212,-1.0 / 432630000.0,5480000000.0
Qifu Tech DRC(QFIN),-1.0 / 7.52,-1.0 / -1.0,4710000000.0
Golub(GBDC),-1.0 / 0.4463,-1.0 / 233980000.0,4059999999.9999995
Powell Industries(POWL),-1.0 / 3.55,-1.0 / 286490000.0,3810000000.0
Bezeq Corp(BZQIY),-1.0 / -1.0,-1.0 / -1.0,3760000000.0
American Eagle Outfitters(AEO),-1.0 / 0.47,-1.0 / 1310000000.0,3510000000.0
PagSeguro Digital(PAGS),-1.0 / 1.69,-1.0 / 4590000000.0,2570000000.0
Star Bulk Carriers(SBLK),-1.0 / 0.898,-1.0 / 304140000.0,2390000000.0
Energizer(ENR),-1.0 / 1.17,-1.0 / 805590000.0,2390000000.0
Thyssenkrupp ADR(TKAMY),-1.0 / 0.1435,-1.0 / 9670000000.0,2150000000.0
Weibo Corp(WB),-1.0 / 0.4363,-1.0 / 436960000.0,2009999999.9999998
ReNew Energy Global(RNW),-1.0 / 11.04,-1.0 / 27590000000.0,1890000000.0
La-Z-Boy(LZB),-1.0 / 0.6433,-1.0 / 505980000.0,1810000000.0
Oaktree Specialty Lending(OCSL),-1.0 / 0.5557,-1.0 / 97600000.0,1310000000.0
Sabine Royalty Trust(SBR),-1.0 / -1.0,-1.0 / -1.0,914120000.0
Guess(GES),-1.0 / 0.5501,-1.0 / 748290000.0,896150000.0
National Energy Services(NESR),-1.0 / 0.23,-1.0 / -1.0,830050000.0
Noah(NOAH),-1.0 / -1.0,-1.0 / -1.0,787130000.0
Varex Imaging(VREX),-1.0 / 0.0757,-1.0 / 198550000.0,568380000.0
MYT Netherlands(MYTE),-1.0 / -0.07,-1.0 / 201900000.0,535900000.0
Lexinfintech(LX),-1.0 / -1.0,-1.0 / -1.0,526120000.0
Yirendai Ltd(YRD),-1.0 / -1.0,-1.0 / -1.0,514650000.0
Auna ADR(AUNA),-1.0 / 0.1667,-1.0 / 309230000.0,510030000.0
Alpha Tau Medical(DRTS),-1.0 / -0.12,-1.0 / 0.0,154250000.0
Allot(ALLT),-1.0 / -0.01,-1.0 / 23700000.0,144400000.0
Northern Technologies(NTIC),-1.0 / 0.19,-1.0 / 22500000.0,127610000.0
Tuniu Corp(TOUR),-1.0 / -1.0,-1.0 / -1.0,126450000.0
Lilium NV(LILMF),-1.0 / -0.1627,-1.0 / 0.0,126190000.0
CNFinance(CNF),-1.0 / 0.04,-1.0 / 499340000.0,74750000.0
Eltek(ELTK),-1.0 / 0.31,-1.0 / 12400000.0,74540000.0
Monogram Orthopaedics(MGRM),-1.0 / -0.1,-1.0 / -1.0,70380000.0
Liquidmetal Tech(LQMT),-1.0 / -1.0,-1.0 / -1.0,42840000.0
The Intergroup(INTG),-1.0 / -1.0,-1.0 / -1.0,30720000.0
Icecure Medical(ICCM),-1.0 / -0.0726,-1.0 / 708500.0,29220000.0
ACMAT(ACMTA),-1.0 / -1.0,-1.0 / -1.0,29100000.0
Inhibitor Therapeutics(INTI),-1.0 / -1.0,-1.0 / -1.0,14650000.0
Sycamore Entmt Grp(SEGI),-1.0 / -1.0,-1.0 / -1.0,11660000.0
NVIDIA(NVDA),-1.0 / 0.7435,-1.0 / 32970000000.0,3580000000000.0
TJX(TJX),-1.0 / 1.09,-1.0 / 13960000000.0,136729999999.99998
Palo Alto Networks(PANW),-1.0 / 1.48,-1.0 / 2120000000.0,131990000000.00002
Target(TGT),-1.0 / 2.3,-1.0 / 25930000000.0,71420000000.0
Snowflake(SNOW),-1.0 / 0.1519,-1.0 / 899300000.0,43770000000.0
